name,position,b,t,class,school,division,state,hometown,stats_link
Parker Savard,INF,R,R,Junior,St. Cloud State University,NCAA: Division 2,MN,"Hanmer, Ontario",
Eddy Savoie,INF,R,R,Sophomore,West Texas A&M University,NCAA: Division 2,TX,"Montreal, Quebec",
Anthony Scali,INF,L,R,Sophomore,Siena Heights University,NAIA,MI,"Pickering, Ontario",
Colton Schaper-Kotter,UTL,L,R,Sophomore,East Central University,NCAA: Division 2,OK,"Vernon, British Columbia",
Wyatt Schnorr,C,R,R,Sophomore,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",
Jason Schrock,C/INF,R,R,Freshman,Jamestown,JUCO: Division 3,NY,"Niagara Falls, Ontario",
Matt Schure,OF,R,R,Freshman,Lassen College,California CC,CA,"Salt Spring Island, British Columbia",
Ryan Scott,RHP,,,Freshman,Yavapai,JUCO: Division 1,AZ,"Quispamsis, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/ryanscottm80j?view=profile
Carter Scott,,R,R,Sophomore,Dakota,JUCO: Division 2,ND,"Airdrie, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/carterscottl8qb?view=profile
Alex Scoular,INF,L,R,Freshman,University of Rio Grande,NAIA,OH,"Whitby, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/alexscoularshco?view=profile
Nathan Scragg,MIF,R,R,Junior,Dawson,JUCO: Division 2,MT,"Port Perry, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/nathanscraggv87g?view=profile
Carter Seabrooke,LHP,,,Sophomore,Howard (TX),JUCO: Division 1,TX,"Peterborough, Ontario",
Ari Sechopoulos,1B,,,Senior,College of Charleston,NCAA: Division 1,SC,"Windsor, Ontario",
Nick Seginowich,C,R,R,Senior,Angelo State University,NCAA: Division 2,TX,"Victoria, British Columbia",
Kale Seitz,UTIL,L,R,Freshman,Campbellsville University,NAIA,KY,"Okotoks, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/kaleseitzds8g?view=profile
Kye Seitz,1B,L,R,Sophomore,Campbellsville University,NAIA,KY,"Okotoks, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/kyeseitzgai9?view=profile
Graham Seltzer,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/grahamseltzerday4?view=profile
Adam Senden,P/1B,,,Senior,Mayville State University,NAIA,ND,"Winnipeg, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/adamsenden30g6?view=profile
Daniel Sereda,LHP,L,L,Sophomore,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",
Ryan Seungjin Yea,RHP,R,R,Freshman,Northeastern,JUCO: Division 1,CO,"Stratford, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/ryanseungjinyear6av?view=profile
Bauer Sewell,IF,R,R,Freshman,University of Jamestown,NAIA,ND,"Calgary, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/bauersewelltu50?view=profile
Conall Sexton,LHP,L,L,Sophomore,San Diego Christian College,NAIA,CA,"Abbotsford, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/conallsextonct7a?view=profile
Caden Shapiro,OF,L,L,Freshman,Princeton University,NCAA: Division 1,NJ,"Toronto, Ontario",
Declan Shaw,RHP/1B,,,Sophomore,West Virginia University Institute of Technology,NAIA,WV,"Whitby, Ontario",
Matthew Shewfelt,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Burnaby, British Columbia",
John Shields,IF/LHP,L,L,Sophomore,University of Jamestown,NAIA,ND,"Calgary, Alberta",
Mike Short,IF,R,R,Sophomore,Minnesota State,JUCO: Division 3,MN,"Middle Sackville, Nova Scotia",https://www.njcaa.org/sports/bsb/2021-22/div3/players/mikeshortqf02?view=profile
Nathan Shute,C/OF,L,R,Sophomore,University of British Columbia,NAIA,BC,"Oakville, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/nathanshute04qz?view=profile
Josh Siemens,RHP/IF,L,R,Freshman,Whitworth University,NCAA: Division 3,WA,"Abbotsford, British Columbia",
Will Sierra,RHP,R,R,Junior,Washington State University,NCAA: Division 1,WA,"Montreal, Quebec",
Virot Siharath,RHP,R,R,Freshman,Virginia Commonwealth University,NCAA: Division 1,VA,"Keswick, Ontario",
Trent Sillett,LHP/INF,R,L,Freshman,Goshen College,NAIA,IN,"London, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/trentsillettk262?view=profile
Riley Silva,OF,L,R,Freshman,Barton,JUCO: Division 1,KS,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/rileysilvalsme?view=profile
Matt Simpson,C,,,Freshman,Northland College,NCAA: Division 3,WI,"Ladysmith, British Columbia",
Cleary Simpson,IF,L,R,Sophomore,Colby,JUCO: Division 1,KS,"Elnora, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/clearysimpsonxzw5?view=profile
Jesse Simpson,RHP,,,Junior,Shorter University,NCAA: Division 2,GA,"Victoria, British Columbia",
Joseph Sinclair,LHP,L,L,Sophomore,University of Mary,NCAA: Division 2,ND,"Vancouver, British Columbia",
Loreto Siniscalchi,RHP,,,Freshman,Washington State University,NCAA: Division 1,WA,"Burnaby, British Columbia",
Mathieu Sirois,1B/OF,R,L,Freshman,Bellevue University,NAIA,NE,"Quebec City, Quebec",https://naiastats.prestosports.com/sports/bsb/2021-22/players/mathieusirois3z14?view=profile
Ben Sitarenios,RHP/OF,,,Sophomore,Salem University,NCAA: Division 2,WV,"Richmond Hills, Ontario",
Austin Skelhorn,RHP,R,R,Senior,Ottawa University,NAIA,KS,"Aurora, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/austinskelhorncdwl?view=profile
Jesse Skelton,,R,R,Sophomore,Dakota,JUCO: Division 2,ND,"Hartney, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/jesseskelton2rxn?view=profile
Nathan Slobodian,RHP,R,R,Freshman,Minot State University,NCAA: Division 2,ND,"Porcupine Plain, Saskatchewan",
Treyson Smith,IF,L,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Abbotsford, British Columbia",
Dylan Smith,INF,R,R,Freshman,Mohawk Valley,JUCO: Division 3,NY,-,https://www.njcaa.org/sports/bsb/2021-22/div3/players/dylansmithk6vo?view=profile
Jackson Smith,C,,,Freshman,Murray State,JUCO: Division 2,OK,"Toronto, Ontario",
Tyler Smith,RHP,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Winnipeg, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/tylersmithvxcp?view=profile
Tahj Smith,RHP,R,R,Junior,Lourdes University,NAIA,OH,"Brampton, Ontario",
Jaxson Smith-Peterson,RHP,R,R,Freshman,Minnesota West,JUCO: Division 3,MN,"Victoria, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div3/players/jaxsonsmithpetersonzxwe
Kyle Smyth,RHP,L,R,Senior,Niagara University,NCAA: Division 1,NY,"Whitby, Ontario",
Mickenzie Sondergaard,LHP,L,L,Freshman,Three Rivers,JUCO: Division 1,MO,"Maidstone, Saskatchewan",https://www.njcaa.org/sports/bsb/2021-22/div1/players/mickenziesondergaard7dsj?view=profile
Seungjun Song,C,,,Freshman,South Suburban,JUCO: Division 1,IL,"Winnepeg, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div1/players/seungjunsongpbhf?view=profile
Garner Spoljaric,RHP,R,R,Senior,Embry-Riddle Aeronautical University,NCAA: Division 2,FL,"Lisle, Ontario",
Kevin Spooner,RHP,R,R,Freshman,Three Rivers,JUCO: Division 1,MO,"Gatineaw, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/kevinspoonervbh8?view=profile
Jordan Spring,RHP,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"London, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jordanspringpb3p?view=profile
Alex Springer,LHP,,,Freshman,Connors State,JUCO: Division 1,OK,"London, Ontario",
Josiah Stairs,LHP,L,L,Freshman,Cornerstone University,NAIA,MI,"Cambridge, Ontario",
Zach Stark,C,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Medicine Hat, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/zachstarkikj3?view=profile
Josh Stark,OF,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Medicine Hat, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/joshstark2h49?view=profile
Nathan Stark,RHP,R,R,Senior,Doane University,NAIA,NE,"Medicine Hat, Alberta",
Grayden Stauffer,RHP,R,R,Sophomore,"University of Tennessee, Martin",NCAA: Division 1,TN,"Oshawa, Ontario",
Dawson Steele,INF,L,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Mission, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/dawsonsteelepa2x?view=profile
Chris Stefan,OF/RHP,,,Freshman,D'Youville College,NCAA: Division 2,NY,"Oakville, Ontario",
Markus Stepanoff,RHP,R,R,Freshman,Missouri Valley College,NAIA,MO,"Milton, Ontario",
Jackson Stephen,OF/P,,,Freshman,Morningside College,NAIA,IA,"Cowichan Bay, British Columbia",
Chase Stewart,RHP,R,R,Senior,Mercyhurst University,NCAA: Division 2,PA,"Abbostsford, British Columbia",
Adamo Stornello,C,L,R,Sophomore,Crowder,JUCO: Division 1,MO,"Montreal, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/adamostornellosqtw?view=profile
Michael Stremlaw,RHP,L,R,Freshman,Butler University,NCAA: Division 1,IN,"Ottawa, Ontario",
Marcus Strother,C,R,R,Junior,University of Toledo,NCAA: Division 1,OH,"Kelowna, British Columbia",
Kyle Stubbins,RHP,R,R,Senior,University of British Columbia,NAIA,BC,"Surrey, British Columbia",
Zachariah Stylianou,RHP,R,R,Freshman,Dawson,JUCO: Division 2,MT,"Waterdown, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/zachariahstylianoukq2u?view=profile
Kenneth Sugi,OF,L,R,Freshman,Kaskaskia,JUCO: Division 1,IL,"North Vancouver, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/kennethsugiqgwi?view=profile
Joel Suraganan,IF,R,R,Sophomore,Marshalltown,JUCO: Division 1,IA,"Pickering, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/joelsuraganan2yrm?view=profile
Zachary Swanson,RHP,R,R,Junior,Park University Gilbert,NAIA,AZ,"Victoria, British Columbia",
Austin Sykes,LHP,,,Freshman,Roane State,JUCO: Division 1,TN,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/austinsykesy3sd?view=profile
Mat Szabo,RHP,L,R,Senior,Angelo State University,NCAA: Division 2,TX,"Sarnia, Ontario",
Noah Takacs,RHP,L,R,Sophomore,Sacramento State University,NCAA: Division 1,CA,"Victoria, British Columbia",
Garrett Takamatsu,C/IF,R,R,Senior,University of Central Oklahoma,NCAA: Division 2,OK,"Burlington, Ontario",
Patrick Tangen,RHP,R,R,Sophomore,Lake Region State,JUCO: Division 2,ND,"Mission, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/patricktangenjcys?view=profile
Dawson Tanner,"IF,RHP",,,Freshman,South Suburban,JUCO: Division 1,IL,"Russell, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div1/players/dawsontanner8go8?view=profile
Jackson Taylor,OF,R,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Oshawa, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/jacksontaylorz2zt?view=profile
Jack Taylor,INF,R,R,Freshman,Rend Lake,JUCO: Division 1,IL,"Abbotsford, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jacktaylorq429?view=profile
Colton Taylor,RHP,R,R,Sophomore,Texas A&M University-Kingsville,NCAA: Division 2,TX,"Amherstburg, Ontario",
Justen Tehse,LHP,R,L,Freshman,Williston State,JUCO: Division 2,ND,"Saskatoon, Saskatchewan",https://www.njcaa.org/sports/bsb/2021-22/div2/players/justentehseg1nt?view=profile
Dominic Teoli,RHP,,,Freshman,Eastern Florida State,JUCO: Division 1,FL,"Montreal, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/dominicteoligcvl?view=profile
Ben Teplin,INF,R,R,Senior,Indiana University of Pennsylvania,NCAA: Division 2,PA,"Richmond Hill, Ontario",
Joe Tevlin,C,R,R,Senior,Niagara University,NCAA: Division 1,NY,"Toronto, Ontario",
Connor Theal,RHP,R,R,Freshman,St. Louis,JUCO: Division 1,MO,"Niagra Falls, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/connortheal9057?view=profile
Cal Theal,RHP,R,R,Senior,Niagara University,NCAA: Division 1,NY,"Niagara Falls, Ontario",
Nicholas Thibodeau,C,,,Sophomore,Howard (TX),JUCO: Division 1,TX,"Burlington, Ontario",
Jonathan Thibodeau,C,R,R,Senior,University of West Alabama,NCAA: Division 2,AL,"Burlington, Ontario",
Nathan Thomasson,INF/RHP,L,R,Freshman,Three Rivers,JUCO: Division 1,MO,"Nanaimo, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/nathanthomassonctoo?view=profile
Kevin Thompson,3B/OF,,,Freshman,Salem University,NCAA: Division 2,WV,"Thorold, Ontario",
Kaedan Thompson,IF,R,R,Freshman,Southwestern,JUCO: Division 1,IA,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/kaedanthompsonea7h?view=profile
Wyatt Thompson,RHP,R,R,Freshman,Thomas College,NCAA: Division 3,ME,"Orillia, Ontario",
Garrett Thornton,RHP,R,R,Freshman,Erie,JUCO: Division 3,NY,"Guelph, Ontario",
Justin Thorsteinson,UT,L,L,Sophomore,Oregon State University,NCAA: Division 1,OR,"Langley, British Columbia",
Quinn Tocheniuk,RHP,R,R,Sophomore,Pratt,JUCO: Division 1,KS,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/quinntocheniukk8tc?view=profile
Carter Toffan,C/OF,,,Freshman,Jefferson (NY),JUCO: Division 3,NY,"Edmonton, Alberta",
Robert Tolhurst,RHP,R,R,Freshman,Southwestern,JUCO: Division 1,IA,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/roberttolhurst1hxu?view=profile
Cooper Tomkinson,IF,,,Freshman,Dodge City,JUCO: Division 1,KS,,https://www.njcaa.org/sports/bsb/2021-22/div1/players/coopertomkinsonlzxe?view=profile
Eric Toms,RHP,R,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Ottowa, Ontario",
Matt Torresan,RHP/OF,R,R,Freshman,Iowa Lakes,JUCO: Division 2,IA,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/matttorresanl7ar?view=profile
Lukas Touma,RHP,R,R,Freshman,"University of South Carolina, Upstate",NCAA: Division 1,SC,"Whitby, Ontario",
Antoine Tremblay,OF,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Trois-Rivieres, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/antoinetremblay50fu?view=profile
Nick Tremblay,OF,,,Sophomore,Trinidad State,JUCO: Division 1,CO,"Mont Saint-Hilaire, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/nicktremblayuiop?view=profile
Ryan Trenholm,OF,R,R,Sophomore,Elmira College,NCAA: Division 3,NY,"Hammonds Plains, Nova Scotia",
Matthias Trondson,RHP,R,R,Freshman,Northeastern Oklahoma A&M,JUCO: Division 1,OK,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/matthaistrondsonaykk?view=profile
Chase Tucker,C,,,Freshman,Salem University,NCAA: Division 2,WV,"St. John's, Newfoundland",
Cole Tucker,INF,R,R,Senior,Niagara University,NCAA: Division 1,NY,"Mount Pearl, Newfoundland & Labrador",
Kellan Tulio,RHP,R,R,Freshman,Penn State University,NCAA: Division 1,PA,"Emmaus, Pennsylvania",
Adam Tulloch,LHP,L,L,Junior,Arizona State University,NCAA: Division 1,AZ,"Toronto, Ontario",
Stefan Turino,OF,R,L,Freshman,Three Rivers,JUCO: Division 1,MO,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/stefanturinowhiv?view=profile
Matt Turino,OF,L,R,Senior,Saint Louis University,NCAA: Division 1,MO,Ontario,
Caden Turnbull,OF,,,Freshman,Harper,JUCO: Division 3,IL,"Wyoming, Ontario",
Kole Turner,RHP/INF,R,R,Freshman,Three Rivers,JUCO: Division 1,MO,"Surrey, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/koleturner2ksm?view=profile
Cesar Valero,OF,R,R,Sophomore,Sacramento State University,NCAA: Division 1,CA,"Calgary, Alberta",
Mathieu Vallee,OF,L,R,Sophomore,Dallas Baptist University,NCAA: Division 1,TX,"Saint-Joseph-du-Lac, Quebec",
Sam Van Snellenberg,RHP,R,R,Sophomore,University of British Columbia,NAIA,BC,"Burnaby, British Columbia",
Cole Van Every,RHP,R,R,Senior,Southwest Baptist University,NCAA: Division 2,MO,"West Kelowna, British Columbia",
Torrin Vaselenak,INF,R,R,Junior,"University of Arkansas, Monticello",NCAA: Division 2,AR,"Coaldale, Alberta",
Julio Vasquez,C,,,Freshman,Howard (TX),JUCO: Division 1,TX,"Cambridge, Ontario",
Trent Verch,1B,,,Freshman,Onondaga,JUCO: Division 3,NY,"Ottawa, Ontario",
Nick Veselinovic,LHP,L,L,Freshman,Niagara University,NCAA: Division 1,NY,"LaSalle, Ontario",
Robin Villenueve,LHP/1B,R,L,Freshman,Weatherford,JUCO: Division 1,TX,"Gatineau, Quebec",https://www.njcaa.org/sports/bsb/2021-22/div1/players/robinvillenuevejj28?view=profile
Martin Vincelli-Simard,INF,R,R,Junior,Sacramento State University,NCAA: Division 1,CA,"Boisbriand, Quebec",
Simon Virostek,OF,R,R,Freshman,Presentation College,NAIA,SD,"Enchant, Alberta",
Max Von Gemmingen,C,L,R,Senior,Spring Arbor University,NAIA,MI,"Brampton, Ontario",
Ellis Vugteveen,RHP,R,R,Freshman,Three Rivers,JUCO: Division 1,MO,"Nanaimo, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/ellisvugteveenv2cm?view=profile
Aaoron Vulcano,C/OF,R,R,Freshman,Colby,JUCO: Division 1,KS,"Cloverdale, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/aaoronvulcanoijxx?view=profile
Liam Vulcano,IF,R,R,Sophomore,Colby,JUCO: Division 1,KS,"Cloverdale, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/liamvulcanom15f?view=profile
John Vulcano,IF,R,R,Sophomore,Colby,JUCO: Division 1,KS,"Cloverdale, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/johnvulcanou3l0?view=profile
Stephen Wade,LHP,L,L,Sophomore,Eastern Oregon University,NAIA,OR,"Victoria, British Columbia",
Jayden Wakeham,C,,,Senior,Northern Kentucky University,NCAA: Division 1,KY,"Victoria, British Columbia",
Maguire Wakelyn,RHP,R,R,Freshman,Otero,JUCO: Division 1,CO,"Abbotsford, British Columbia",
Parker Wakelyn,RHP,R,R,Sophomore,University of Mary,NCAA: Division 2,ND,"Abbotsford, British Columbia",
Josh Walker,OF,L,R,Sophomore,Sacramento State University,NCAA: Division 1,CA,"Victoria, British Columbia",
David Walling,OF,R,R,Junior,Siena Heights University,NAIA,MI,"Mississauga, Ontario",
Matt Ward,C,R,R,Sophomore,Niagara University,NCAA: Division 1,NY,"Mississauga, Ontario",
Logan Warkentin,OF/LHP,R,L,Freshman,Williston State,JUCO: Division 2,ND,"Domain, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/loganwarkentinub69?view=profile
Daniel Warkentin,IF,R,R,Senior,Eastern Michigan University,NCAA: Division 1,MI,"Leamington, Ontario",
Cole Watson,C,R,R,Freshman,Saint Peter's University,NCAA: Division 1,NJ,Ontario,
Will Watson,RHP,R,R,Freshman,West Virginia University,NCAA: Division 1,WV,"Brampton, Ontario",
Michael Watson,RHP,R,R,Sophomore,St. Lawrence University,NCAA: Division 3,NY,"Claremont, Ontario",
Matthew Watson,RHP,R,R,Junior,Biola University,NCAA: Division 2,CA,"Vancouver, British Columbia",
Chris Watson,IF,R,R,Senior,St. Lawrence University,NCAA: Division 3,NY,"Claremont, Ontario",
Cassidy Watt,C,,,Freshman,Colorado Northwestern,JUCO: Division 1,CO,British Columbia,https://www.njcaa.org/sports/bsb/2021-22/div1/players/cassidywattqfbu?view=profile
Cade Webber,RHP,R,R,Freshman,McCook,JUCO: Division 1,NE,"Kelowna, British Columbia",
Liam Wedge,RHP,R,R,Sophomore,Elmira College,NCAA: Division 3,NY,"Newmarket, Ontario",
Nolan Weger,IF,R,R,Junior,University of British Columbia,NAIA,BC,"Surrey, British Columbia",
Jonah Weisner,INF,L,R,Junior,Ottawa University,NAIA,KS,"Mission, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jonahweisnerk889?view=profile
Ryan Wells,RHP,R,R,Freshman,Georgia Highlands,JUCO: Division 1,GA,"Caledon, Ontario",
Lucas Wepf,RHP,,,Senior,University of Louisiana at Monroe,NCAA: Division 1,LA,"Georgetown, Ontario",
Hayden Wesseling,RHP,R,R,Sophomore,Monroe CC,JUCO: Division 2,NY,"Guelph, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/haydenwesselingir2u?view=profile
Ty Wevers,C,,,Sophomore,Cloud County,JUCO: Division 1,KS,"Lethbridge, Alberta",
Chas Wheatley,RHP,R,R,Freshman,University of Iowa,NCAA: Division 1,IA,"Edmonton, Alberta",
Austin Wheeler,OF,R,R,Junior,Graceland University,NAIA,IA,"Welland, Ontario",
Reese Whelen,C,R,R,Sophomore,Goshen College,NAIA,IN,"Medicine Hat, Alberta",
Kyle Whiteclaw,,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Cambridge, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/kylewhiteclawbf9w?view=profile
Carter Whitehead,IF,L,R,Freshman,Erie,JUCO: Division 3,NY,"Simcoe, Ontario",
Matt Wiggins,RHP,L,R,Junior,Niagara University,NCAA: Division 1,NY,"Merrickville, Ontario",
Jayson Wilbur,LHP,R,L,Senior,Indiana University of Pennsylvania,NCAA: Division 2,PA,"Courtice, Ontario",
Evan Wilcox,RHP,R,R,Junior,Menlo College,NAIA,CA,"Welland, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/evanwilcoxk4lf?view=profile
Hayden Wilcox,RHP,L,R,Junior,Wheeling Jesuit University,NCAA: Division 2,WV,"Victoria, British Columbia",
Evan Wilde,LHP,L,L,Junior,Niagara University,NCAA: Division 1,NY,"Airdrie, Alberta",
Brendan Wilkinson,RHP,R,R,Freshman,Virginia Commonwealth University,NCAA: Division 1,VA,"Milton, Ontario",
Jeremy Williams,,,,Freshman,Douglas,NW Athletic Conference,BC,"Mission, British Columbia",
Malik Williams,INF,,,Senior,Lipscomb University,NCAA: Division 1,TN,"Toronto, Ontario",
Justin Willis,,,,Freshman,Clark,NW Athletic Conference,WA,"Calgary, Alberta",
Jason Willow,OF/INF,R,R,Senior,"University of California, Santa Barbara",NCAA: Division 1,CA,"Victoria, British Columbia",
Colin Windle,RHP,R,R,Freshman,Hilbert College,NCAA: Division 3,NY,"Aurora, Ontario",
Dion Wintjes,C,R,R,Junior,Marian University,NAIA,IN,"Vancouver, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/dionwintjes5lqg?view=profile
Andre Wojtarowicz,LHP/OF,R,L,Freshman,Frontier,JUCO: Division 1,IL,"Oakville, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/andrewojtarowicztrew?view=profile
Ayden Wood,LHP/OF,L,L,Freshman,Southeastern,JUCO: Division 2,IA,"Courtice, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/aydenwoodebmf?view=profile
Brantt Wood,IF,,,Senior,Mayville State University,NAIA,ND,"Saskatoon, Saskatchewan",
Nick Woodcock,LHP,,,Freshman,Yavapai,JUCO: Division 1,AZ,"Whitby, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/nickwoodcocksw2d?view=profile
Branden Woods,LHP,L,L,Freshman,University of British Columbia,NAIA,BC,"Red Deer, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/brandenwoodszmdm?view=profile
Samuel Worthen,RHP,,,Sophomore,D'Youville College,NCAA: Division 2,NY,"Guelph, Ontario",
Sam Worthen,RHP,R,R,Sophomore,Wilson College,NCAA: Division 3,PA,"Guelph, Ontario",
Mason Wright,C,L,R,Sophomore,Erie,JUCO: Division 3,NY,"Courtice, Ontario",
Max Wright,C/OF,L,R,Senior,Indiana State University,NCAA: Division 1,IN,"Toronto, Ontario",
Josh Wynette,LHP,L,L,Freshman,Dawson,JUCO: Division 2,MT,"Three Hills, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/joshwynettetaw0?view=profile
AJ Yamaguchi,RHP,R,R,Sophomore,University of Texas at Tyler,NCAA: Division 2,TX,"Vancouver, British Columbia",
Hilo Yamamoto,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"Whistler, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/hiloyamamotot664?view=profile
Russell Young,C,R,R,Freshman,Johnson County,JUCO: Division 1,KS,"Surrey, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/russellyoungj8f8?view=profile
Kaiden Zacharias,OF,,,Junior,Asbury University,NAIA,KY,"Lloydminster, Alberta",
Brian Zapp,INF,,,Junior,"Miami University, Ohio",NCAA: Division 1,OH,"Waterloo, Ontario",
Kaden Zarowny,OF,R,R,Freshman,Crowder,JUCO: Division 1,MO,"Strathmore, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/kadenzarownyvp0v?view=profile
Tucker Zdunich,OF,L,R,Sophomore,Reinhardt University,NAIA,GA,"High River, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/tuckerzdunichvfr5?view=profile
Mateo Zeppieri,OF,L,R,Freshman,McLennan,JUCO: Division 1,TX,"Newmarket, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/mateozeppierite41?view=profile
Kevin Zhang,RHP,R,R,Junior,Cedarville University,NCAA: Division 2,OH,"Toronto, Ontario",
Aris Zimakas,LHP,L,L,Senior,Oakland University,NCAA: Division 1,MI,"Montreal, Quebec",
Noah Zimmer,RHP,L,R,Freshman,Southwestern Assemblies of God Univ,NAIA,TX,"Chilliwack, British Columbia",
Zach Zinck,RHP,L,R,Junior,Ave Maria University,NAIA,FL,"Bridgewater, Nova Scotia",
Hayden Zweig,RHP,R,R,Freshman,Pasadena City College,California CC,CA,"Oakville, Ontario",
